YEAR,QUARTER,MONTH,WEEK,DAY,DAY_OF_WEEK,IS_WEEKEND,SEASON,HOUR,TIME_OF_DAY,PART,CRIME_TYPE,CRIME_CATEGORY,SEVERITY,ARREST,QUALITY_OF_LIFE,ADDRESS,LAT,LON,DATEEND
2023,2,4,17,27,Thursday,False,Spring,20.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-27
2023,3,9,37,16,Saturday,True,Fall,20.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,0 S CLINTON ST & W FAYETTE ST,43.048701,-76.153563,2023-09-16
2023,4,12,48,1,Friday,False,Winter,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-12-01
2023,2,6,23,10,Saturday,True,Summer,18.0,Evening (18-23),Part1,MV THEFT,Property,2,False,False,0 S CROUSE AV & E ADAMS ST,43.042671,-76.136647,2023-06-10
2023,3,8,34,24,Thursday,False,Summer,13.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-24
2023,3,7,30,29,Saturday,True,Summer,11.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,0 S CLINTON ST & W WATER ST,43.050555,-76.153545,2023-07-29
2023,2,4,15,15,Saturday,True,Spring,10.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-15
2023,3,8,32,10,Thursday,False,Summer,6.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,0 S SALINA ST & E WASHINGTON ST,43.04961,-76.152208,2023-08-10
2023,3,8,34,25,Friday,False,Summer,14.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-25
2023,3,9,39,26,Tuesday,False,Fall,0.0,Night (0-5),Part1,MV THEFT,Property,2,False,False,0 S GEDDES ST & ONONDAGA BLVD,43.033959,-76.17479,2023-09-26
2023,3,8,34,21,Monday,False,Summer,17.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-08-21
2023,2,5,21,22,Monday,False,Spring,22.0,Evening (18-23),Part1,ROBBERY,Violent,4,True,False,0 S TOWNSEND ST & E TAYLOR ST,43.039377,-76.14563,2023-05-22
2023,4,11,48,29,Wednesday,False,Fall,15.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-29
2023,1,3,12,26,Sunday,True,Spring,5.0,Night (0-5),Part1,MV THEFT,Property,2,True,False,0 S WARREN ST & E WATER ST,43.050519,-76.150768,2023-03-26
2023,2,4,16,17,Monday,False,Spring,15.0,Afternoon (12-17),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-04-17
